"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"42022";"Objeto: CONTRATAÇÃO DE DUAS TURMAS FECHADAS (60 VAGAS) PARA A RFB, NO CURSO 'PROGRAMA LIDERANÇA DE IMPACTO: CONEXÃO E AÇÃO PARA RESULTADOS'.";"";"Inexigibilidade de Licitação";"Não se aplica";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170058";"SUPERINTENDENCIA REGIONAL DA RFB NA 4A RF";"20/07/2022";"26/07/2022";"22/08/2022";"31/12/2022";"19268267000192";"FUNDACAO DOM CABRAL";"280500,0000";"280500,0000";"000072021";"170058";"SUPERINTENDENCIA REGIONAL DA RFB NA 4A RF";"7";"Inexigibilidade de Licitação"
"212022";"Objeto: CONTRATAÇÃO DE SERVIÇOS PARA REFORMA NAS SALAS MULTIUSO E SALA 116 DA FACULDADE DE MEDICINA, LOCALIZADO NA RUA RAMIRO BARCELOS, 2400 - CAMPUS DA SAÚDE, NA CIDADE DE PORTO ALEGRE/RS";"";"Tomada de Preços";"Não se aplica";"26000";"Ministério da Educação";"26244";"Universidade Federal do Rio Grande do Sul";"153114";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL";"12/07/2022";"19/07/2022";"15/07/2022";"06/12/2023";"97042055000104";"MARIO SERGIO DA COSTA PINHEIRO";"638143,5600";"638143,5600";"000022022";"153114";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL";"2";"Tomada de Preços"
"282022";"Objeto: SERVIÇOS DE INTERNET FIBRA ÓTICA NOS POSTOS DE COLETA DO CENSO DEMOGRÁFICO 2022 EM ARRAIAS/TO E COMBINADO/TO";"";"Dispensa de Licitação";"Não se aplica";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114639";"UNIDADE ESTADUAL DO IBGE EM TOCANTINS";"23/06/2022";"04/07/2022";"23/06/2022";"23/12/2022";"19023641000190";"INFOTURBO TELECOM LTDA";"2518,6000";"2518,6000";"000052022";"114639";"UNIDADE ESTADUAL DO IBGE EM TOCANTINS";"6";"Dispensa de Licitação"
"942022";"Objeto: CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE SERVIÇO DE REVISÃO GRAMATICAL DE TEXTO PARA PUBLICAÇÃO REVISÃO DE TEXTO";"";"Pregão - Registro de Preço";"Não se aplica";"26000";"Ministério da Educação";"26407";"Instituto Federal Goiano";"158124";"IF GOIANO";"04/07/2022";"07/07/2022";"07/07/2022";"07/07/2023";"41248953000150";"BARBARA RAYNE NUNES CARDOSO 09795354680";"52500,0000";"52500,0000";"000262022";"158124";"IF GOIANO";"-99";"Pregão - Registro de Preço"
"212022";"Objeto: CONTRATAÇÃO DA FUNDAÇÃO DE APOIO A CULTURA, A PESQUISA E AO DESENVOLVIMENTO INSTITUCIONAL, CIENTÍFICO E TECNOLÓGICO - FUNDAÇÃO CETREDE, COM A FINALIDADE DE DAR APOIO ADMINISTRATIVO E FINANCEIRO AO PROJETO: QUANTAS VOZES CABEM NUM DIÁLOGO? (DE)COLONIALIDADE E JORNALISMO NA AMÉRICA LATINA, EM DECORRÊNCIA DA EMENDA PARLAMENTAR Nº 37100012";"";"Dispensa de Licitação";"Não se aplica";"26000";"Ministério da Educação";"26233";"Universidade Federal do Ceará";"153045";"UNIVERSIDADE FEDERAL DO CEARA";"20/07/2022";"25/07/2022";"20/07/2022";"15/06/2023";"31302808000157";"FUNDACAO DE APOIO A CULTURA, A PESQUISA E AO DESENVOLVIMENTO INSTITUCIONAL, CIEN";"76000,0000";"76000,0000";"000202022";"153045";"UNIVERSIDADE FEDERAL DO CEARA";"6";"Dispensa de Licitação"
"302022";"Objeto: CONTRATAÇÃO INTEGRADA DE EMPRESA DE CONSTRUÇÃO CIVIL PARA ADEQUAR A INFRAESTRUTURA DE INSTALAÇÃO DE NOVOS ELEVADORES DA RECEPÇÃO E NUTRIÇÃO NA UNIDADE PRESIDENTE DUTRA E ELEVADOR DA UNIDADE MATERNO INFANTIL DO HU-UFMA/EBSERH, INCLUINDO O FORNECIMENTO DE MÃO-DE-OBRA E INSUMOS";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155010";"HOSPITAL UNIVERSITARIO DA UFMA";"07/07/2022";"12/07/2022";"12/07/2022";"02/05/2023";"12769072000187";"CONSTRUTORA AP ENGETECH LTDA.";"405549,0000";"405549,0000";"-3";"";"";"";""
"42022";"Objeto: SERVIÇOS DE REFORMA PREDIAL COM FORNECIMENTO DE MÃO DE OBRA E PEÇAS/MATERIAIS PARA REFORMA DO PRÉDIO PRINCIPAL DA SUPERINTENDÊNCIA.";"";"Dispensa de Licitação";"Não se aplica";"54000";"Ministério do Turismo";"20411";"Instituto do Patrimônio Histórico e Artístico";"343038";"SUPERINTENDENCIA DO IPHAN EM RORAIMA - RR";"19/07/2022";"21/07/2022";"19/07/2022";"18/08/2022";"07657508000106";"TRAVASSO EMPREENDIMENTOS LTDA";"79995,0000";"79995,0000";"000082022";"343038";"SUPERINTENDENCIA DO IPHAN EM RORAIMA - RR";"6";"Dispensa de Licitação"
"222022";"Objeto: CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE PEÇAS PARA MANUTENÇÃO CORRETIVA NOS EQUIPAMENTOS DA MARCA FANEM, EQUIPAMENTOS DE SUPORTE A VIDA UTILIZADO PELO SETOR DE UTI NEONATAL DO INSTITUTO NACIONAL DE SAÚDE DA MULHER, DA CRIANÇA E DO ADOLESCENTE FERNANDES FIGUEIRA (IFF)";"";"Inexigibilidade de Licitação";"Não se aplica";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"254447";"INST NACIONAL DE SAUDE FERNANDES FIGUEIRA";"26/07/2022";"27/07/2022";"26/07/2022";"24/10/2022";"04050750000129";"RTS RIO S/A";"36468,3800";"36468,3800";"000182022";"254447";"INST NACIONAL DE SAUDE FERNANDES FIGUEIRA";"7";"Inexigibilidade de Licitação"
"122017";"Objeto: ?	A FINALIDADE DESTE CONTRATO É GARANTIR, AOS MILITARES DA ATIVA, DA RESERVA OU REFORMADOS, PENSIONISTAS E SEUS DEPENDENTES E SERVIDORES CIVIS DO EXÉRCITO BRASILEIRO (ATIVOS E INATIVOS) E DEPENDENTES DIRETOS E INDIRETOS, NAS CONDIÇÕES ESPECIFICADAS NESTE INSTRUMENTO E NO EDITAL, POR INTERMÉDIO DE HOSPITAIS GERAL, ASSISTÊNCIA MÉDICO-HOSPITALAR, AMBULATORIAL, ATENDIMENTO DE EMERGÊNCIA/URGÊNCIA EM REGIME DE 24 (VINTE E QUATRO) HORAS DIÁRIAS.DIAGNÓSTICO EM CARDIOLOGIA E ANGIOLOGIA, DEVIDAMENTE RECONHECIDAS PE";"";"Inexigibilidade de Licitação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160098";"BASE ADMINISTRATIVA DO CMDO DE OP ESPECIAIS";"30/08/2018";"19/07/2022";"30/08/2018";"29/08/2022";"00814356000169";"CDI - DIAGNOSTICOS EM CARDIOLOGIA E ANGIOLOGIA LTDA";"500000,0000";"500000,0000";"000052017";"160098";"BASE ADMINISTRATIVA DO CMDO DE OP ESPECIAIS";"7";"Inexigibilidade de Licitação"
"82022";"Objeto: CONTRATAÇÃO DE SERVIÇOS CONTINUADOS DE GERENCIAMENTO E MANUTENÇÃO PREVENTIVA E CORRETIVA COM FORNECIMENTO DE PEÇAS POR MEIO DE REDE CREDENCIADA, UTILIZANDO TECNOLOGIA DA INFORMAÇÃO, A FIM DE ATENDER ÀS NECESSIDADES DOS VEÍCULOS PERTENCENTES À REITORIA E CAMPUS BENEDITO BENTES DO INSTITUTO FEDERAL DE ALAGOAS - IFAL.";"";"Pregão - Registro de Preço";"Não se aplica";"26000";"Ministério da Educação";"26402";"Instituto Federal de Alagoas";"158147";"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS";"11/07/2022";"12/07/2022";"11/07/2022";"11/07/2023";"12039966000111";"LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI";"260000,0000";"260000,0000";"000042022";"158147";"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS";"-99";"Pregão - Registro de Preço"
