"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"262022";"Objeto: AQUISIÇÃO DE MARMITEX PRONTO PARA CONSUMO.";"";"Dispensa de Licitação";"Não se aplica";"52000";"Ministério da Defesa";"52221";"Indústria de Material Bélico do Brasil";"168004";"INDUSTRIA DE MATERIAL BELICO DO BRASIL/FPV";"11/08/2022";"19/08/2022";"11/08/2022";"10/08/2023";"42113538000152";"J.A DA SILVA FREITAS RESTAURANTE EIRELI";"22500,0000";"22500,0000";"000662022";"168004";"INDUSTRIA DE MATERIAL BELICO DO BRASIL/FPV";"6";"Dispensa de Licitação"
"112022";"Objeto: AQUISIÇÃO DE TESTE DE PROFICIÊNCIA TOEFL ITP";"";"Inexigibilidade de Licitação";"Não se aplica";"26000";"Ministério da Educação";"26426";"Instituto Federal do Amapá";"158150";"INST.FED.DE EDUC.,CIENC.E TEC.DO AMAPA";"29/08/2022";"30/08/2022";"29/08/2022";"29/08/2023";"40273987000132";"MASTERTEST EDUCATIONAL LTDA";"20020,0000";"20020,0000";"000112022";"158150";"INST.FED.DE EDUC.,CIENC.E TEC.DO AMAPA";"7";"Inexigibilidade de Licitação"
"252022";"Objeto: EXECUÇÃO DE OBRA DE REFORMA EM AMBIENTES DOS SETORES A, H, I E K DO INSTITUTO DE CULTURA E ARTE-ICA DO CAMPUS PICI EM FORTALEZA/CE????????.";"";"Tomada de Preços";"Não se aplica";"26000";"Ministério da Educação";"26233";"Universidade Federal do Ceará";"153045";"UNIVERSIDADE FEDERAL DO CEARA";"12/08/2022";"17/08/2022";"12/08/2022";"08/01/2023";"14207860000105";"JB2 ENGENHARIA EIRELI";"226414,0100";"226414,0100";"000022022";"153045";"UNIVERSIDADE FEDERAL DO CEARA";"2";"Tomada de Preços"
"292022";"Objeto: PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO E CONSERVAÇÃO EM INSTALAÇÕES ELÉTRICAS, ELETRIFICAÇÃO, ILUMINAÇÃO EXTERNA, REDE LÓGICA E TELEFONIA, COM FORNECIMENTO DE POSTOS DE SERVIÇO DE DEDICAÇÃO EXCLUSIVA, PEÇAS E MATERIAIS";"";"Pregão";"Não se aplica";"26000";"Ministério da Educação";"26350";"Fundação Universidade Federal da Grande Doura";"154502";"FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS";"16/08/2022";"23/08/2022";"05/09/2022";"05/09/2023";"09342161000138";"ELIMCO SOLUCOES LTDA";"939826,3200";"939826,3200";"000592022";"154502";"FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS";"5";"Pregão"
"252022";"Objeto: CONTRATAÇÃO DE SERVIÇOS DE GATEWAY SMS PARA OS RESPONDENTES DAS PESQUISAS DO IBGE, POR 12 (DOZE) MESES CONFORME CONDIÇÕES, EXIGÊNCIAS E ESTIMATIVAS ESTABELECIDAS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL DO PREGÃO";"";"Pregão - Registro de Preço";"Não se aplica";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114601";"FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ";"02/08/2022";"03/08/2022";"03/08/2022";"03/08/2023";"27447387000185";"SMART NX TECNOLOGIA LTDA";"76140,0000";"19035,0000";"000142021";"114601";"FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ";"-99";"Pregão - Registro de Preço"
"572022";"Objeto: O OBJETO DO PRESENTE TERMO DE CONTRATO É A AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA O SETOR DE APROVISIONAMENTO, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS ESTABELECIDOS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL.";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160020";"HOSPITAL MILITAR DE AREA DE MANAUS";"18/08/2022";"19/08/2022";"18/08/2022";"17/01/2023";"02377254000159";"UNIVERSAL-COMERCIAL DE FRUTAS E VERDURAS LTDA";"23365,1000";"23365,1000";"-3";"";"";"";""
"622022";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA DA FROTA DE VEÍCULOS DO CÂMPUS CHAPECÓ DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA, IFSC, QUE SERÃO PRESTADOS NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL.";"";"Pregão";"Não se aplica";"26000";"Ministério da Educação";"26438";"Instituto Federal de Santa Catarina";"158516";"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC";"01/08/2022";"24/08/2022";"08/08/2022";"08/08/2023";"02975038000105";"ELIZETE SILVA DE CASTRO EIRELI";"33598,8000";"33598,8000";"211122022";"158516";"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC";"5";"Pregão"
"72022";"Objeto: CONTRATAR EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO CONTÍNUO DE LIMPEZA, HIGIENIZAÇÃO E CONSERVAÇÃO, COM DISPONIBILIZAÇÃO DE MÃO DE OBRA EM REGIME DE DEDICAÇÃO EXCLUSIVA E FORNECIMENTO DE MATERIAL NAS UNIDADES DA ADVOCACIA-GERAL DA UNIÃO NO ESTADO DO PARANÁ";"";"Pregão";"Não se aplica";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"29/08/2022";"30/08/2022";"01/09/2022";"31/08/2023";"06059231000157";"PARANA LIMP SERVICOS TERCEIRIZADOS LTDA";"780627,3600";"780627,3600";"000032022";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"5";"Pregão"
"75842022";"Objeto: CONTRATAÇÃO DE SERVIÇOS CONTÍNUOS DE MANUTENÇÃO PREDIAL PREVENTIVA, CORRETIVA E PREDITIVA";"";"Dispensa de Licitação";"Não se aplica";"26000";"Ministério da Educação";"26439";"Instituto Federal de São Paulo";"158584";"IFSP - CAMPUS PRESIDENTE EPITACIO";"19/08/2022";"25/08/2022";"01/09/2022";"31/08/2023";"11161828000148";"SOMAVE - CONSTRUTORA LTDA";"384355,3200";"384355,3200";"105842022";"158154";"INSTITUTO FEDERAL DE SAO PAULO";"6";"Dispensa de Licitação"
"735802022";"OBJETO: Serviços de reparo.";"Fundamento Legal: INEXIGIBILIDADE DE LICITAÇÃO LEI Nº 13.303/2016, ART. 30, CAPUT";"Sem Informação";"Fechado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"179013";"COBRA-COMPUTADORES E SIST.BRASILEIROS S/A";"22/08/2022";"22/08/2022";"22/08/2022";"21/09/2022";"07796221000167";"CROMP SERVICE ELETRONICA LTDA";"78808,0000";"78808,0000";"-2";"";"";"";""
