"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"1822022";"Objeto: AQUISIÇÃO DE EQUIPAMENTOS MÉDICO HOSPITALARES (EMHS) COM A RESPECTIVA INSTALAÇÃO, TREINAMENTO E ASSISTÊNCIA TÉCNICA DURANTE O PERÍODO DE GARANTIA DO HOSPITAL UNIVERSITÁRIO PROFESSOR POLYDORO ERNANI DE SÃO TIAGO (HUPEST)";"";"Pregão - Registro de Preço";"Não se aplica";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155913";"HOSPITAL UNIVERSITARIO DA UFSC";"17/11/2022";"24/11/2022";"21/11/2022";"21/11/2023";"05968162000131";"W & Z COMERCIO E SERVICOS HOSPITALARES LTDA";"101970,0000";"101970,0000";"001342022";"155913";"HOSPITAL UNIVERSITARIO DA UFSC";"-99";"Pregão - Registro de Preço"
"432022";"Objeto: CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE TELECOMUNICAÇÕES PARA IMPLEMENTAÇÃO, OPERAÇÃO E MANUTENÇÃO DE LINK DEDICADO A INTERNET COM VELOCIDADE DE 25 MBS DE DOWNLOAD A RÁDIO OU 15 MBS DE DOWNLOAD A FIBRA ÓPTICA DEPENDENDO DA DISPONIBILIDADE DA REGIÃO, PARA ATENDER AS NECESSIDADES DO DSEI/MGES NO SERVIÇO DE ESCRITÓRIO LOCAL EM ARACRUZ/ES";"";"Dispensa de Licitação";"Não se aplica";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"257035";"DISTRITO SANIT.ESP.INDIGENA - MG/ES";"19/10/2022";"04/11/2022";"20/10/2022";"20/03/2023";"44348018000154";"UP100 TELECOMUNICACOES LTDA";"699,5000";"699,5000";"000152022";"257035";"DISTRITO SANIT.ESP.INDIGENA - MG/ES";"6";"Dispensa de Licitação"
"842022";"Objeto: CONTRATO DE USO DO SISTEMA DE DISTRIBUIÇÃO, MODALIDADE TARIFÁRIA VERDE, CONSUMIDOR SUBMETIDO À LEI 14.133/21, UNIDADE ESCOLA DE MÚSICA";"";"Inexigibilidade de Licitação";"Não se aplica";"26000";"Ministério da Educação";"26238";"Universidade Federal de Minas Gerais";"153267";"DEPARTAMENTO MANUT. OPER.INFRA-ESTRUTURA/UFMG";"21/11/2022";"24/11/2022";"21/11/2022";"21/11/2023";"06981180000116";"CEMIG DISTRIBUICAO S.A";"18640,5700";"18640,5700";"000022022";"153267";"DEPARTAMENTO MANUT. OPER.INFRA-ESTRUTURA/UFMG";"7";"Inexigibilidade de Licitação"
"52022";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇO DE LAVANDERIA, PARA A LAVAGEM DE TOALHAS DE MESA, GUARDANAPOS DE MESA, E CAPAS DE CADEIRA PARA O CMDO 6ª BDA INF BLD E OM VINCULADAS";"";"Pregão";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160414";"COMANDO 6 BRIGADA DE INFANTARIA BLINDADA";"03/11/2022";"04/11/2022";"03/11/2022";"02/11/2023";"15272846000158";"PS SERVICOS DE LAVANDERIA LTDA";"15996,0000";"15996,0000";"000042022";"160414";"COMANDO 6 BRIGADA DE INFANTARIA BLINDADA";"5";"Pregão"
"672022";"Objeto: aquisição de Gêneros Alimentícios e Descartáveis - Quantitativo de Rancho (QR)";"";"Pregão - Registro de Preço";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160263";"11 GRUPO DE ARTILHARIA DE CAMPANHA";"24/10/2022";"17/11/2022";"24/10/2022";"31/12/2022";"27621519000143";"ISUPRY COMERCIAL E SERVICOS LTDA";"1491,1700";"1491,1700";"000012022";"160263";"11 GRUPO DE ARTILHARIA DE CAMPANHA";"-99";"Pregão - Registro de Preço"
"42022";"Objeto: SERVIÇO DE COMUNICAÇÃO VIA SATÉLITE COM CARTÃO PRÉ-PAGO INDIVIDUAL IRIDIUM";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160011";"4º CENTRO DE GEOINFORMACAO";"08/11/2022";"22/11/2022";"08/11/2022";"08/05/2023";"20283712000172";"GLOBALSAT DO BRASIL LTDA";"7980,0000";"7980,0000";"-3";"";"";"";""
"72022";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS CONTINUADOS DE PRESTAÇÃO DE SERVIÇO DE TERCEIRIZAÇÃO DE MÃO DE OBRA PARA FORNECIMENTO DE SERVIÇOS DE APOIO ADMINISTRATIVO AO DISTRITO SANITÁRIO ESPECIAL INDÍGENA TOCANTINS - DSEI/TO, QUE SERÃO PRESTADOS NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL.";"";"Pregão";"Não se aplica";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"257054";"DISTRITO SANIT.ESP.INDIGENA - TOCANTINS";"03/11/2022";"11/11/2022";"07/11/2022";"07/11/2023";"30946078000164";"WJK SERVICOS DE ENGENHARIA E CONSULTORIA LTDA";"599274,5200";"599274,5200";"000112022";"257054";"DISTRITO SANIT.ESP.INDIGENA - TOCANTINS";"5";"Pregão"
"3292022";"Objeto: AQUISIÇÃO DO MEDICAMENTO ALFAVESTRONIDASE, 2MG/ML";"";"Sem Informação";"Não se aplica";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"250005";"DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG";"22/11/2022";"24/11/2022";"22/11/2022";"22/11/2023";"27724245000118";"ULTRAGENYX BRASIL FARMACEUTICA LTDA.";"23863466,8800";"23863466,8800";"-3";"";"";"";""
"632022";"Objeto: DISTRIBUIÇÃO, PELA CONTRATADA, DA PUBLICIDADE LEGAL IMPRESSA E/OU ELETRÔNICA DE INTERESSE DO(A) CONTRATANTE";"";"Inexigibilidade de Licitação";"Não se aplica";"54000";"Ministério do Turismo";"20412";"Fundação Nacional de Artes";"403201";"FUNDACAO NACIONAL DE ARTES";"19/11/2022";"22/11/2022";"20/11/2022";"19/11/2027";"09168704000142";"EMPRESA BRASIL DE COMUNICACAO S.A. - EBC";"25000,0000";"25000,0000";"010102022";"403201";"FUNDACAO NACIONAL DE ARTES";"7";"Inexigibilidade de Licitação"
"2972022";"Objeto: AQUISIÇÃO DE ETANERCEPTE 25MG";"";"Pregão - Registro de Preço";"Não se aplica";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"250005";"DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG";"10/11/2022";"11/11/2022";"10/11/2022";"10/11/2023";"46070868003699";"LABORATORIOS PFIZER LTDA";"2893962,1600";"2893962,1600";"000752022";"250005";"DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG";"-99";"Pregão - Registro de Preço"
